Time	VisOnly	VisMov	Mov	VisSem	VisMSem	MovSem
272.5	0.351345932	0.24856239	-0.251759539	0.22363399	0.16718528	0.141622902
277.5	0.34742049	0.262605819	-0.121670506	0.236082129	0.1766275	0.176233853
282.5	0.283687872	0.285024728	0.024921553	0.237624056	0.180479942	0.229257846
287.5	0.169564055	0.300338349	0.112333037	0.225174034	0.17628623	0.266590916
292.5	0.052142255	0.302505974	0.099046602	0.206127367	0.170921619	0.269151657
297.5	-0.01943173	0.295389186	0.014763347	0.190377701	0.170978413	0.239215886
302.5	-0.026505897	0.284518013	-0.068396552	0.183354525	0.175838908	0.203027136
307.5	0.017213894	0.270749427	-0.094971326	0.183273353	0.181290352	0.191353053
312.5	0.08254528	0.25521595	-0.052415539	0.185062693	0.183846582	0.207395035
317.5	0.140358845	0.249489128	0.045449254	0.184814841	0.184510564	0.238092609
322.5	0.176649863	0.273272183	0.175761562	0.180968458	0.189009703	0.279921114
327.5	0.202700732	0.336448642	0.303367991	0.177980656	0.199399272	0.329806427
332.5	0.237724366	0.425690491	0.382235275	0.187958553	0.21008324	0.36550486
337.5	0.273220932	0.513341491	0.381413182	0.215906836	0.215688631	0.360230099
342.5	0.268733688	0.580063304	0.311589495	0.243240952	0.218098106	0.314138673
347.5	0.19308424	0.625405857	0.220690187	0.248218288	0.224230157	0.26286877
352.5	0.060923097	0.654826891	0.165710913	0.233556228	0.234874404	0.248646729
357.5	-0.076457189	0.662642519	0.186696113	0.221140246	0.243595669	0.269188683
362.5	-0.166170271	0.635398637	0.289534075	0.221632456	0.248732613	0.301037613
367.5	-0.178230257	0.570463007	0.437203969	0.227040328	0.254049095	0.340452055
372.5	-0.116674369	0.484021157	0.562961573	0.234414434	0.259427037	0.38132699
377.5	-0.023327207	0.398655225	0.609740261	0.247419319	0.260535387	0.403840138
382.5	0.043002448	0.327140523	0.565905222	0.261482427	0.255132868	0.396731395
387.5	0.053997434	0.271344263	0.463951357	0.271230506	0.244850378	0.368797461
392.5	0.036833789	0.232367025	0.351424998	0.281232561	0.234338066	0.333830186
397.5	0.036474295	0.210877076	0.269183531	0.296744133	0.22928955	0.298499277
